github.com/AlDanial/cloc v 2.04  T=0.17 s (343.0 files/s, 20643.4 lines/s)
------------------------------------------------------------------------------------------------------------------------------------
File                                                                                             blank        comment           code
------------------------------------------------------------------------------------------------------------------------------------
./src/components/ProtocolsTable/ProtocolsTable.tsx                                                   9             13            139
./src/App.tsx                                                                                        5              5            123
./src/components/ProtocolsTable/ProtocolsTable.test.tsx                                             30             16            111
./src/components/NewsDetail/NewsDetail.test.tsx                                                     10              0            110
./src/components/NewsDetail/NewsDetail.tsx                                                           9              1            106
./backend/src/controllers/authController.ts                                                         18             21             99
./src/components/layout/Header/Header.tsx                                                            5              0             99
./src/components/auth/SignUpForm/SignUpForm.tsx                                                     10              1             90
./src/context/AuthContext.tsx                                                                       11              0             87
./src/hooks/__tests__/useAveragePercentageYield.test.tsx                                            21              4             76
./src/components/TVLChart/TVLChart.tsx                                                               6             11             75
./src/components/TVLChart/TVLChart.test.tsx                                                         15              4             73
./src/components/auth/SignUpForm/SignUpForm.test.tsx                                                 9              0             69
./src/context/__tests__/AuthContext.test.tsx                                                         5              0             68
./src/components/AveragePercentageYieldChart/AveragePercentageYieldChart.test.tsx                   15              4             66
./src/components/StablecoinChart/StablecoinChart.test.tsx                                           15              4             65
./src/services/api.ts                                                                               12              2             65
./src/components/Footer/Footer.tsx                                                                   2              0             63
./src/components/DeFiNews/DeFiNews.test.tsx                                                          6              3             60
./src/components/Skeletons/Skeletons.test.tsx                                                       11              3             60
./src/components/auth/SignInForm/SignInForm.tsx                                                      7              1             58
./src/context/__tests__/ThemeContext.test.tsx                                                       14              7             57
./backend/src/models/User.ts                                                                         8              3             56
./src/components/ThemeToggle/ThemeToggle.tsx                                                         3              0             52
./src/components/DeFiNews/DeFiNews.tsx                                                               7              1             51
./backend/src/routes/newsRoutes.ts                                                                   5              3             50
./src/hooks/__tests__/useStablecoinData.test.tsx                                                    15              4             50
./src/components/AveragePercentageYieldChart/AveragePercentageYieldChart.tsx                         8             10             48
./src/components/layout/Header/Header.test.tsx                                                       8              1             48
./src/hooks/__tests__/useProtocols.test.tsx                                                         15              4             47
./src/hooks/__tests__/useTVLData.test.tsx                                                           15              4             47
./backend/src/middleware/auth.ts                                                                     8              0             46
./src/components/auth/SignInForm/SignInForm.test.tsx                                                 6              0             46
./src/components/StablecoinChart/StablecoinChart.tsx                                                 6             12             44
./src/components/Skeletons/Skeletons.tsx                                                             4              0             40
./src/components/Footer/Footer.test.tsx                                                              9              6             39
./src/components/ThemeToggle/ThemeToggle.test.tsx                                                    9              5             35
./src/context/ThemeContext.tsx                                                                       8              0             32
./backend/src/index.ts                                                                               7              7             31
./backend/src/routes/authRoutes.ts                                                                   5              2             29
./eslint.config.js                                                                                   1              0             27
./src/pages/SignIn.tsx                                                                               3              0             27
./src/services/newsApi.ts                                                                            4              2             27
./src/pages/SignUp.tsx                                                                               3              0             25
./jest.config.js                                                                                     0              1             24
./src/components/auth/ProtectedRoute/ProtectedRoute.test.tsx                                         3              0             21
./src/hooks/useAveragePercentageYield.ts                                                             3             11             18
./src/hooks/useStablecoinData.ts                                                                     3              9             18
./vite.config.ts                                                                                     1              1             18
./backend/src/models/Comment.ts                                                                      3              0             17
./src/components/Navbar/Navbar.tsx                                                                   2              0             17
./src/components/auth/ProtectedRoute/ProtectedRoute.tsx                                              5              1             17
./src/hooks/useProtocols.ts                                                                          3              4             16
./src/components/Navbar/Navbar.test.tsx                                                              2              0             15
./src/hooks/useTVLData.ts                                                                            3              9             15
./src/main.tsx                                                                                       3              4             15
./src/utils/errorHandler.ts                                                                          3              3             15
./backend/src/config/database.ts                                                                     3              0             13
./src/setupTests.ts                                                                                  2              0              7
./src/vite-env.d.ts                                                                                  0              1              0
------------------------------------------------------------------------------------------------------------------------------------
SUM:                                                                                               441            208           2962
------------------------------------------------------------------------------------------------------------------------------------
